density,average_speed,time_passing,flow
9.67741935483871,29.032258064516128,6.451612903225804,1045.1612903225807
19.35483870967742,29.032258064516128,6.451612903225804,2090.3225806451615
29.032258064516128,28.77327053763441,6.509690267364446,3107.5132180645164
38.70967741935484,19.74279672458511,9.487401877064482,2842.9627283402556
48.38709677419355,16.74237648633383,11.187548846643674,3013.627767540089
58.064516129032256,15.249656270230165,12.282720052935451,3293.925754369715
67.74193548387096,14.242184295695909,13.151487024363222,3589.0304425153695
77.41935483870968,12.205871321139707,15.34565598323439,3515.290940488236
87.09677419354838,11.71601556850701,15.987362919939004,3795.9890441962702
96.7741935483871,10.527355721921,17.794055946692136,3789.84805989156
106.45161290322581,4.7037980463596485,39.830795443974054,1862.7040263584208
116.12903225806451,9.219828580512976,20.315639344575896,3982.9659467816055
125.80645161290323,3.242774717617865,57.764493740729215,1517.6185678451611
135.48387096774192,2.9858803642396308,62.760209823555854,1504.8837035767738
145.16129032258064,2.532995365579699,73.96398976636017,1367.817497413037
154.83870967741936,1.9978707408516123,93.79731024116172,1150.7735467305288
164.51612903225808,1.559633429616698,120.1302581901838,954.4956589254192
174.19354838709677,0.9380774365591396,199.72182803613143,607.8741788903224
183.8709677419355,0.6461126935904921,289.91535325246934,441.94108241589663
